NOMEDEP;DE;MUN;CODVINC;NOMESC_CODVINC;CODESC;NOMESC;TIPO_ESCOLA;TEMPO_ESCOLA;HORARIO;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;DDD;FONE1;FONE2;EMAIL;ALE;DTCADASTRO
"ESTADUAL - SE";"SUL 3";"SAO PAULO";;;920997;"JESUS JOSE ATTAB PROFESSOR";"EE";"PARCIAL";;"RUA ANA AMÉLIA DO NASCIMENTO";"137";"";"VILA MARCELO";"04866";"040";"11";"59792208";"59792576";"E920997A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CAIEIRAS";"CAIEIRAS";;;921002;"ALADINO POLON";"EE";"PEI";"7H";"AVENIDA PREFEITO GINO DÁRTORA";"721";"- ATÉ 985/986";"JARDIM NOVA ERA";"07724";"170";"11";"44420809";"46052230";"E921002A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CAIEIRAS";"FRANCISCO MORATO";;;921026;"PEDRO PAULO DE AGUIAR";"EE";"PARCIAL";;"AV PAULO BROSSARD";"2235";"AVENIDA";"JD VASSOURAS II";"07957";"000";"11";"44883796";"44886067";"E921026A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CAIEIRAS";"FRANCO DA ROCHA";;;921038;"LUIZ ALEXANDRE DOS SANTOS VEREADOR";"EE";"PARCIAL";;"R ANGELO MISSON";"6";"RUA";"JD BANDEIRANTES";"07830";"180";"11";"44494399";"";"E921038A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"GUARULHOS NORTE";"GUARULHOS";;;921048;"FRANCISCO MILTON DE ANDRADE";"EE";"PEI";"7H";"RUA FABRÍCIO RICARDI MARQUES DE OLIVEIRA";"48";"";"PARQUE CONTINENTAL III";"07085";"340";"11";"24580511";"24580622";"E921048A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"JACAREI";"ARUJA";;;921051;"MARIA ISABEL NEVES BASTOS PROFA";"EE";"PARCIAL";;"RUA MARIA DE LOURDES MÁXIMO";"150";"";"JARDIM RENATA";"07402";"015";"11";"46551901";"46552799";"E921051A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"MOGI DAS CRUZES";"MOGI DAS CRUZES";;;921063;"ALZIRA FERNANDES SCUNGISQUI";"EE";"PEI";"9H";"RUA JOAQUIM RAMA FORTE";"115";"";"JARDIM ARACY";"08770";"520";"11";"47902262";"47905185";"E921063A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SUZANO";"SUZANO";;;921087;"JACQUES YVES COUSTEAU COMANDANTE";"EE";"PARCIAL";;"BENEDITO LUCAS PARREIRA";"165";"RUA";"CIDADE MIGUEL BADRA";"08690";"150";"11";"47491982";"";"E921087A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SAO BERNARDO DO CAMPO";"SAO BERNARDO DO CAMPO";;;921105;"AYRTON SENNA DA SILVA";"EE";"PEI";"7H";"RUA SALIM MAHFOUD";"SN";"";"PARQUE TERRA NOVA II";"09820";"780";"11";"43470416";"43965999";"E921105A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"MAUA";"RIBEIRAO PIRES";;;921117;"ANTONIO DE PADUA PASCHOAL DE GODOY PROFESSOR";"EE";"PARCIAL";;"SOMA";"2950";"ESTRADA";"SOMMA";"09445";"550";"11";"48239494";"";"E921117A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"MAUA";"RIBEIRAO PIRES";;;921129;"JOAO RONCON";"EE";"PARCIAL";;"RUA GUILHERMINO RONCON";"26";"";"RONCON";"09410";"540";"11";"48258951";"48287135";"E921129A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"DIADEMA";"DIADEMA";;;921130;"ANCHIETA PADRE";"EE";"PARCIAL";;"RUA PEDRO JOSÉ DE REZENDE";"300";"";"PIRAPORINHA";"09951";"280";"11";"40710773";"40751177";"E921130A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"TABOAO DA SERRA";"TABOAO DA SERRA";;;921154;"FERNANDO MILANO PROFESSOR";"EE";"PEI";"7H";"RUA TOM JOBIM";"420";"";"PARQUE LAGUNA";"06795";"005";"11";"47015289";"47861224";"E921154A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"AMERICANA";"SANTA BARBARA D'OESTE";;;921178;"EDUARDO SILVA PROF";"EE";"PEI";"7H";"RUA BELO HORIZONTE";"1200";"";"LOTEAMENTO PLANALTO DO SOL";"13454";"330";"19";"34583743";"34588542";"E921178A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"BRAGANCA PAULISTA";"BRAGANCA PAULISTA";;;921185;"FERNANDO AMOS SIRIANI DR";"EE";"PARCIAL";;"ERNESTO VAZ DE LIMA";"635";"ESTRADA MUNICIPAL";"JD FRATERNIDADE";"12926";"320";"11";"40313544";"40313814";"E921185A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SAO JOSE DO RIO PRETO";"SAO JOSE DO RIO PRETO";;;921221;"OCTACILIO ALVES DE ALMEIDA PROFESSOR";"EE";"PEI";"9H";"RICARDO RAMIREZ GIMENESI";"2001";"RUA";"CONJUNTO HABITACIONAL SAO JOSE DO  RIO  PRETO I";"15052";"050";"17";"32245818";"32248371";"E921221A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITAQUAQUECETUBA";"ITAQUAQUECETUBA";;;921257;"AMALIA MARIA DOS SANTOS";"EE";"PARCIAL";;"RUA VITAL BRASIL";"SN";"";"VILA MARIA AUGUSTA";"08570";"310";"11";"46473933";"46475889";"E921257A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 2";"SAO PAULO";;;921312;"ALVARO SIMOES";"EE";"PARCIAL";;"RUA CECÍLIA ITER";"150";"";"VILA PROGRESSO ZONA LESTE";"08240";"730";"11";"20514666";"20541834";"E921312A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SUL 3";"SAO PAULO";;;921324;"LUCAS ROSCHEL RASQUINHO";"EE";"PEI";"7H";"RUA PAULINO GOTTSFRITZ";"50";"";"COLONIA ZONA SUL";"04875";"060";"11";"59203290";"59208161";"E921324A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"GUARULHOS SUL";"GUARULHOS";;;921336;"LAURA DA PURIFICACAO DE CASTRO MENDES PROFESSORA";"EE";"PEI";"9H";"RUA IMACULADA";"80";"";"JARDIM SAO MANOEL";"07183";"070";"11";"24120708";"24126724";"E921336A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SANTO ANDRE";"SANTO ANDRE";;;921361;"ODNEI MARIA MARTINS SANTURBANO PROFESSORA";"EE";"PARCIAL";;"AVENIDA INCONFIDÊNCIA MINEIRA";"0";"";"JARDIM VILA RICA";"09170";"140";"11";"44519385";"44557976";"E921361A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
